order_id,lat,lng,weight,volume,time_window_start,time_window_end,service_time
ORD0001,12.987339,77.696528,18.2,0.125,14:30,16:30,14
ORD0002,12.986805,77.676965,13.7,0.059,16:00,19:00,13
ORD0003,12.997156,77.51523,33.7,0.193,09:00,12:00,6
ORD0004,12.993468,77.626867,60.5,0.43,14:30,16:30,11
ORD0005,13.005612,77.584892,77.9,0.429,07:00,09:00,15
ORD0006,13.029809,77.579508,14.0,0.064,16:00,19:00,7
ORD0007,13.045654,77.614363,36.2,0.174,08:30,11:30,11
ORD0008,12.942078,77.65442,31.4,0.169,06:30,08:30,5
ORD0009,13.037256,77.500424,31.3,0.155,16:00,19:00,7
ORD0010,13.036312,77.596007,26.7,0.168,12:00,15:00,8
ORD0011,13.067528,77.67779,23.9,0.174,08:30,12:30,11
ORD0012,13.035936,77.519935,29.5,0.151,06:00,10:00,6
ORD0013,12.947696,77.490905,12.6,0.058,13:00,15:00,9
ORD0014,12.847967,77.604154,24.8,0.16,14:00,18:00,8
ORD0015,12.922585,77.598562,29.5,0.18,06:00,18:00,10
ORD0016,13.028426,77.663429,37.2,0.188,07:00,09:00,12
ORD0017,12.955935,77.710069,25.5,0.168,08:30,11:30,13
ORD0018,13.02615,77.487842,12.9,0.088,10:30,13:30,15
ORD0019,13.010045,77.498331,25.0,0.125,15:00,19:00,8
ORD0020,12.975957,77.693498,30.8,0.137,06:00,18:00,10
ORD0021,13.004982,77.597187,30.6,0.143,15:00,19:00,12
ORD0022,12.982077,77.531897,22.1,0.145,12:30,15:30,5
ORD0023,12.961349,77.699979,12.3,0.067,09:30,11:30,8
ORD0024,13.04263,77.65476,13.4,0.098,06:00,18:00,13
ORD0025,12.939455,77.571306,25.6,0.116,09:30,11:30,11
ORD0026,13.056978,77.614909,22.0,0.122,10:00,13:00,9
ORD0027,12.949926,77.675537,32.0,0.169,15:00,19:00,13
ORD0028,13.000204,77.582202,10.1,0.076,06:30,10:30,6
ORD0029,13.02003,77.702812,4.5,0.028,06:30,10:30,6
ORD0030,12.930735,77.522323,35.1,0.173,09:30,12:30,11
ORD0031,12.935562,77.5661,13.2,0.1,06:00,18:00,14
ORD0032,12.968518,77.723518,14.0,0.072,07:00,09:00,10
ORD0033,12.997026,77.530836,26.1,0.202,14:00,16:00,15
ORD0034,13.079855,77.558984,9.9,0.051,11:00,13:00,15
ORD0035,13.071371,77.585581,21.7,0.157,06:00,18:00,11
ORD0036,13.002922,77.70765,20.1,0.155,13:00,17:00,11
ORD0037,13.032489,77.668344,18.2,0.105,06:00,18:00,10
ORD0038,12.85733,77.629566,16.5,0.075,12:30,16:30,7
ORD0039,13.092186,77.604936,13.9,0.067,12:30,16:30,8
ORD0040,12.908422,77.610111,39.4,0.281,10:30,12:30,8
ORD0041,12.989725,77.601544,6.7,0.051,16:00,19:00,11
ORD0042,12.885369,77.653655,20.5,0.151,15:00,18:00,5
ORD0043,12.988149,77.55565,34.6,0.221,12:00,16:00,8
